"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2023","259.880","261.500","262.750","259.880","0.02K","-0.90%"
"02/17/2023","262.240","263.500","266.150","260.500","0.03K","-1.12%"
"02/16/2023","265.220","266.150","266.980","262.250","0.03K","-0.20%"
"02/15/2023","265.750","267.250","267.500","262.750","0.04K","-0.47%"
"02/14/2023","267.000","269.000","269.725","264.500","0.03K","-0.84%"
"02/13/2023","269.250","267.380","270.250","267.000","0.02K","0.00%"
"02/10/2023","269.250","269.000","271.500","266.500","0.03K","0.00%"
"02/09/2023","269.250","274.250","274.500","269.500","0.01K","-1.75%"
"02/08/2023","274.050","272.500","276.400","271.500","0.02K","-0.67%"
"02/07/2023","275.900","274.500","276.500","274.500","0.01K","0.40%"
"02/06/2023","274.800","276.500","276.500","270.500","0.02K","0.12%"
"02/03/2023","274.460","270.250","275.500","270.250","0.01K","1.46%"
"02/02/2023","270.500","268.750","270.950","268.250","0.02K","1.50%"
"02/01/2023","266.500","265.250","268.780","265.250","0.01K","-0.37%"
"01/31/2023","267.500","270.250","270.500","266.750","0.02K","1.87%"
"01/30/2023","262.600","260.250","263.050","259.995","0.01K","-0.17%"
"01/27/2023","263.050","250.500","263.050","250.390","0.00K","5.01%"
"01/26/2023","250.500","231.775","250.500","231.125","0.41K","8.18%"
"01/25/2023","231.550","231.500","231.785","230.750","1.13K","0.24%"
"01/24/2023","231.000","231.375","231.520","230.150","1.08K","0.11%"
"01/23/2023","230.750","229.875","231.385","229.150","0.75K","0.44%"
"01/20/2023","229.750","229.925","230.175","229.500","1.25K","-0.04%"
"01/19/2023","229.850","229.625","229.935","228.875","0.70K","0.26%"
"01/18/2023","229.250","229.500","229.635","228.750","0.53K","0.11%"
"01/17/2023","229.000","228.875","229.510","228.525","0.55K","0.11%"
"01/16/2023","228.750","228.800","228.925","228.425","0.52K","0.07%"
"01/13/2023","228.600","228.665","228.925","228.000","0.48K","0.12%"
"01/12/2023","228.330","228.540","228.690","227.875","0.85K","0.11%"
"01/11/2023","228.080","228.540","228.565","227.875","0.64K","0.00%"
"01/10/2023","228.080","228.285","228.540","227.475","1.07K","0.22%"
"01/09/2023","227.570","228.225","228.295","227.350","0.69K","0.05%"
"01/06/2023","227.450","228.125","228.235","227.000","0.53K","0.09%"
"01/05/2023","227.250","226.950","228.125","226.875","0.48K","0.42%"
"01/04/2023","226.290","226.900","227.220","226.645","0.01K","-0.09%"
"01/03/2023","226.500","226.700","227.150","226.450","0.42K","0.04%"
"01/02/2023","226.400","226.700","226.700","226.700","","0.00%"
"12/30/2022","226.400","226.700","226.865","226.250","0.47K","0.00%"
"12/29/2022","226.400","226.750","226.760","225.750","0.54K","-0.04%"
"12/28/2022","226.500","226.625","226.825","225.875","0.53K","0.11%"
"12/27/2022","226.250","226.375","226.635","225.750","0.51K","0.22%"
"12/26/2022","225.750","226.375","226.375","225.475","0.36K","0.00%"
"12/23/2022","225.750","226.250","226.385","225.375","0.54K","0.11%"
"12/22/2022","225.500","226.250","226.260","225.250","0.50K","0.00%"
"12/21/2022","225.500","226.125","226.260","225.000","0.56K","0.11%"
"12/20/2022","225.250","224.900","226.175","224.725","0.29K","0.33%"
"12/19/2022","224.500","224.875","225.250","224.675","0.01K","0.00%"
"12/16/2022","224.500","224.875","225.225","224.500","0.36K","-0.11%"
"12/15/2022","224.750","224.875","225.150","224.500","0.88K","0.00%"
"12/14/2022","224.750","224.875","225.125","224.625","0.73K","0.00%"
"12/13/2022","224.750","224.875","225.125","224.450","0.79K","0.00%"
"12/12/2022","224.750","224.000","224.885","224.000","0.52K","0.11%"
"12/09/2022","224.500","224.750","224.800","223.375","1.04K","0.00%"
"12/08/2022","224.500","224.625","224.760","223.625","1.09K","0.11%"
"12/07/2022","224.250","224.625","224.635","223.625","0.79K","0.00%"
"12/06/2022","224.250","224.500","224.645","223.625","1.09K","0.11%"
"12/05/2022","224.000","224.325","224.520","223.500","0.76K","0.16%"
"12/02/2022","223.650","224.625","224.700","223.375","1.01K","-0.27%"
"12/01/2022","224.250","224.750","224.825","223.350","0.97K","-0.11%"
